ID,PlantHeight
SC0868,0.675
SC0870,1.25
SC0878,2.195
SC0893,1.245
SC0914,0.765
SC0921,0.98
SC0965,0.6
SC0999,0.8
SC1021,1.235
SC1023,0.72
SC1024,1.375
SC1082,0.735
SC1097,1.395
SC1107,0.795
SC1114,0.67
SC1119,0.855
SC1120,1.545
SC1133,1.03
SC1166,0.57
SC1170,1.26
SC1178,0.925
SC1193,1.02
SC1216,0.635
SC1442,1.7799999999999998
SanChiSan,1.395
Segaolane,2.0
