ID,DaysToFlower
PI533855,69.8071376973046
SC0741,69.4867922966868
PI656074,66.073652655066
SC0505,72.3957171836994
PI656037,71.9136248844012
PI576406,74.0537351147353
PI576425,65.7027031599045
PI576409,61.2255828693801
PI534078,58.1784188835701
PI576437,64.2015677737088
PI533905,76.2596871464323
PI576351,58.4077242130969
PI153846,65.0758215397616
PI533798,60.8082266796364
PI533989,67.6181893919839
PI533787,61.548712804833
PI642998,66.2256948196471
PI533952,66.8716589334957
PI655976,66.5310421527954
PI576369,69.8368266019441
PI561071,77.229872656925
SC0436,67.141073408082
PI595719,82.0015178440986
PI595704,73.1267820381828
PI533894,62.8611559372934
PI534125,76.039775006101
PI533963,63.6735908842088
PI533916,62.9120391111907
PI576413,65.3550361527949
PI576414,64.7824991076278
PI534121,
PI533910,
PI656077,61.2660907329133
PI576333,68.6278010371845
PI656024,75.0374825470655
PI576366,59.1987465407842
PI595729,59.4514754439814
PI534099,63.5868275790497
PI534001,77.668751533074
PI576359,75.9782279756714
PI534136,75.1852162248217
PI534025,84.0650519397513
SC0652,59.518171128696
PI542406,78.6622667016628
PI642793,66.2290531548555
PI576415,55.6416210283681
PI656084,67.5169378017318
PI533970,68.1871014606946
SC0581,81.6305058493248
PI533872,64.9863762620908
PI597945,62.5463442904999
PI533845,69.3238655830024
PI576401,79.2604521659343
PI655987,64.2699832830097
SC0854,65.8918211952604
PI534132,67.7608199553118
PI656005,66.4264482493328
SC0753,65.5557494537203
SC0517,60.7250148845144
PI533942,65.9754097178252
PI595713,69.978374808634
SC0615,62.5283478054153
PI534036,80.0182949956534
PI534010,79.5644829442564
PI656068,72.375440151826
PI533747,60.9497827268701
PI595725,64.0575234655465
PI656026,70.0924544047816
PI533789,70.9737945853056
PI595730,49.9856466851727
PI597951,66.983382334201
SC0314,64.6096169794604
PI597982,59.7712402086787
PI656014,76.0249090692069
PI533791,54.0412763038144
PI534011,78.2355427862554
PI533843,68.994599236876
PI576363,64.4705679773134
PI576435,66.9860301858587
PI595720,62.2628873063699
PI533846,66.3715768878794
PI533934,72.865452650267
PI655973,68.7370821035279
PI534122,72.3048340459009
PI534007,67.4238687756165
PI533776,64.569061569366
PI533870,59.0045842045105
PI561073,78.2450186704267
PI655986,69.2329518327091
PI595718,58.7315617766859
PI597959,58.6004524501035
PI595705,62.9810056719439
PI595736,62.8402402779824
PI534028,74.023561095852
PI533891,64.2816126613319
PI533851,74.2517752044902
PI595734,64.4653701965817
SC0458,75.1089080059453
PI533935,66.1403343244152
PI533941,62.9381078859189
PI656052,62.643313323874
PI533753,65.6365910017978
PI533946,72.9483430923363
PI534100,70.7504904089153
PI533750,66.0777326283407
PI656098,60.7418552059908
PI533898,62.4829358421348
PI276837,85.6148078385395
SC0191,63.8633467492312
PI533998,72.0109432990149
PI655974,69.2994511019535
PI533853,65.474430464445
PI534018,69.1127317708217
PI533842,81.4008414846861
PI533906,72.9874546614758
PI534107,66.4257190325703
PI656055,65.9887515206915
